Response_ID,Timestamp,How would you rate your overall satisfaction with the workshop?,Which academic department do you belong to?,What is your current year of study?,Which workshop topic was most valuable to you?,Which skills would you like to explore in future sessions? (Select all that apply),How clear and effective was the instructor's delivery?,Would you recommend this workshop to your peers?,What aspects of the workshop did you like the most?,What improvements or changes would you suggest?
1,2026-08-30 10:18:34.647933,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Mobile App Development, Advanced System Design",4.0,Yes,,
2,2026-08-29 15:59:34.647933,4.0,Information Technology,3rd Year,React & Modern UI Systems,"Docker & Kubernetes, Autonomous AI Agents, Mobile App Development",5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
3,2026-08-28 00:23:34.647933,5.0,Electronics & Communication,2nd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,
4,2026-08-28 11:01:34.647933,5.0,AI & Data Science,3rd Year,React & Modern UI Systems,Docker & Kubernetes,4.0,Yes,Loved building a working AI application in real time during the second half.,Audio had occasional echo in the auditorium back rows.
5,2026-08-28 08:57:34.647933,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,Great energy from the instructor and very well structured presentation slides.,Some advanced AI prompting techniques needed more foundational explanation.
6,2026-09-01 01:20:34.647933,4.0,Information Technology,3rd Year,Python & FastAPI Backends,Docker & Kubernetes,3.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
7,2026-09-01 03:44:34.647933,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,Vector Databases & RAG,5.0,Yes,Loved the clear explanations of REST API architecture and database models.,
8,2026-08-30 02:48:34.647933,1.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,Autonomous AI Agents,1.0,No,Great energy from the instructor and very well structured presentation slides.,Audio had occasional echo in the auditorium back rows.
9,2026-08-30 04:25:34.647933,5.0,Computer Science,2nd Year,Cloud Deployment & DevOps,Advanced System Design,4.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
10,2026-08-29 06:21:34.647933,4.0,Computer Science,1st Year,React & Modern UI Systems,Docker & Kubernetes,4.0,Yes,Loved the clear explanations of REST API architecture and database models.,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
11,2026-08-28 22:03:34.647933,5.0,AI & Data Science,2nd Year,React & Modern UI Systems,"Autonomous AI Agents, Advanced System Design",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
12,2026-08-28 03:53:34.647933,5.0,AI & Data Science,4th Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Advanced System Design, Docker & Kubernetes",4.0,Maybe,Loved the clear explanations of REST API architecture and database models.,
13,2026-08-29 19:02:34.647933,5.0,AI & Data Science,2nd Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Mobile App Development",5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,
14,2026-08-28 01:40:34.647933,4.0,Computer Science,1st Year,Python & FastAPI Backends,"Autonomous AI Agents, Vector Databases & RAG, Advanced System Design",3.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
15,2026-08-28 03:29:34.647933,4.0,Computer Science,2nd Year,Python & FastAPI Backends,"Mobile App Development, Vector Databases & RAG",5.0,Yes,,Need more time allocated for hands-on practice rather than rapid live coding.
16,2026-08-29 04:49:34.647933,4.0,Information Technology,4th Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Autonomous AI Agents, Mobile App Development",3.0,Yes,Loved the clear explanations of REST API architecture and database models.,Audio had occasional echo in the auditorium back rows.
17,2026-08-27 20:03:34.647933,5.0,Computer Science,2nd Year,Cloud Deployment & DevOps,"Autonomous AI Agents, Advanced System Design, Mobile App Development",4.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Audio had occasional echo in the auditorium back rows.
18,2026-08-31 22:12:34.647933,5.0,Computer Science,2nd Year,Cloud Deployment & DevOps,"Advanced System Design, Mobile App Development, Autonomous AI Agents",5.0,Yes,Loved building a working AI application in real time during the second half.,The pace in the second half was a bit too fast for beginners without prior Python experience.
19,2026-08-31 01:07:34.647933,3.0,Computer Science,1st Year,Python & FastAPI Backends,"Autonomous AI Agents, Vector Databases & RAG, Advanced System Design",3.0,Maybe,Loved building a working AI application in real time during the second half.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
20,2026-08-30 02:02:34.647933,5.0,Information Technology,3rd Year,Python & FastAPI Backends,Docker & Kubernetes,5.0,Maybe,Practical examples rather than just boring slides. Outstanding workshop!,
21,2026-08-30 11:07:34.647933,5.0,Computer Science,2nd Year,React & Modern UI Systems,"Autonomous AI Agents, Advanced System Design, Docker & Kubernetes",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
22,2026-08-28 18:39:34.647933,5.0,Electronics & Communication,4th Year,AI-assisted Coding & LLMs,"Advanced System Design, Autonomous AI Agents, Docker & Kubernetes",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Please provide code repositories and slides earlier before the session starts.
