Response_ID,Timestamp,How would you rate your overall satisfaction with the workshop?,Which academic department do you belong to?,What is your current year of study?,Which workshop topic was most valuable to you?,Which skills would you like to explore in future sessions? (Select all that apply),How clear and effective was the instructor's delivery?,Would you recommend this workshop to your peers?,What aspects of the workshop did you like the most?,What improvements or changes would you suggest?
1,2026-08-31 14:15:22.700702,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Mobile App Development, Advanced System Design",4.0,Yes,,
2,2026-08-30 19:56:22.700702,4.0,Information Technology,3rd Year,React & Modern UI Systems,"Docker & Kubernetes, Autonomous AI Agents, Mobile App Development",5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
3,2026-08-29 04:20:22.700702,5.0,Electronics & Communication,2nd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,
4,2026-08-29 14:58:22.700702,5.0,AI & Data Science,3rd Year,React & Modern UI Systems,Docker & Kubernetes,4.0,Yes,Loved building a working AI application in real time during the second half.,Audio had occasional echo in the auditorium back rows.
5,2026-08-29 12:54:22.700702,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,Great energy from the instructor and very well structured presentation slides.,Some advanced AI prompting techniques needed more foundational explanation.
6,2026-09-02 05:17:22.700702,4.0,Information Technology,3rd Year,Python & FastAPI Backends,Docker & Kubernetes,3.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
7,2026-09-02 07:41:22.700702,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,Vector Databases & RAG,5.0,Yes,Loved the clear explanations of REST API architecture and database models.,
8,2026-08-31 06:45:22.700702,1.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,Autonomous AI Agents,1.0,No,Great energy from the instructor and very well structured presentation slides.,Audio had occasional echo in the auditorium back rows.
9,2026-08-31 08:22:22.700702,5.0,Computer Science,2nd Year,Cloud Deployment & DevOps,Advanced System Design,4.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
10,2026-08-30 10:18:22.700702,4.0,Computer Science,1st Year,React & Modern UI Systems,Docker & Kubernetes,4.0,Yes,Loved the clear explanations of REST API architecture and database models.,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
11,2026-08-30 02:00:22.700702,5.0,AI & Data Science,2nd Year,React & Modern UI Systems,"Autonomous AI Agents, Advanced System Design",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
12,2026-08-29 07:50:22.700702,5.0,AI & Data Science,4th Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Advanced System Design, Docker & Kubernetes",4.0,Maybe,Loved the clear explanations of REST API architecture and database models.,
13,2026-08-30 22:59:22.700702,5.0,AI & Data Science,2nd Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Mobile App Development",5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,
14,2026-08-29 05:37:22.700702,4.0,Computer Science,1st Year,Python & FastAPI Backends,"Autonomous AI Agents, Vector Databases & RAG, Advanced System Design",3.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
15,2026-08-29 07:26:22.700702,4.0,Computer Science,2nd Year,Python & FastAPI Backends,"Mobile App Development, Vector Databases & RAG",5.0,Yes,,Need more time allocated for hands-on practice rather than rapid live coding.
16,2026-08-30 08:46:22.700702,4.0,Information Technology,4th Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Autonomous AI Agents, Mobile App Development",3.0,Yes,Loved the clear explanations of REST API architecture and database models.,Audio had occasional echo in the auditorium back rows.
17,2026-08-29 00:00:22.700702,5.0,Computer Science,2nd Year,Cloud Deployment & DevOps,"Autonomous AI Agents, Advanced System Design, Mobile App Development",4.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Audio had occasional echo in the auditorium back rows.
18,2026-09-02 02:09:22.700702,5.0,Computer Science,2nd Year,Cloud Deployment & DevOps,"Advanced System Design, Mobile App Development, Autonomous AI Agents",5.0,Yes,Loved building a working AI application in real time during the second half.,The pace in the second half was a bit too fast for beginners without prior Python experience.
19,2026-09-01 05:04:22.700702,3.0,Computer Science,1st Year,Python & FastAPI Backends,"Autonomous AI Agents, Vector Databases & RAG, Advanced System Design",3.0,Maybe,Loved building a working AI application in real time during the second half.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
20,2026-08-31 05:59:22.700702,5.0,Information Technology,3rd Year,Python & FastAPI Backends,Docker & Kubernetes,5.0,Maybe,Practical examples rather than just boring slides. Outstanding workshop!,
21,2026-08-31 15:04:22.700702,5.0,Computer Science,2nd Year,React & Modern UI Systems,"Autonomous AI Agents, Advanced System Design, Docker & Kubernetes",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
22,2026-08-29 22:36:22.700702,5.0,Electronics & Communication,4th Year,AI-assisted Coding & LLMs,"Advanced System Design, Autonomous AI Agents, Docker & Kubernetes",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Please provide code repositories and slides earlier before the session starts.
23,2026-09-02 07:08:22.700702,4.0,AI & Data Science,2nd Year,Cloud Deployment & DevOps,"Vector Databases & RAG, Docker & Kubernetes, Autonomous AI Agents",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Some advanced AI prompting techniques needed more foundational explanation.
24,2026-09-02 02:33:22.700702,3.0,Electronics & Communication,1st Year,Python & FastAPI Backends,Docker & Kubernetes,2.0,Maybe,The AI integration section was eye opening and directly applicable to our capstone project.,Audio had occasional echo in the auditorium back rows.
25,2026-08-31 03:31:22.700702,3.0,Computer Science,1st Year,Cloud Deployment & DevOps,"Advanced System Design, Vector Databases & RAG, Mobile App Development",2.0,Yes,,
26,2026-09-02 01:41:22.700702,5.0,Electronics & Communication,4th Year,AI-assisted Coding & LLMs,"Advanced System Design, Mobile App Development",5.0,Yes,Great energy from the instructor and very well structured presentation slides.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
27,2026-09-01 20:59:22.700702,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Mobile App Development, Vector Databases & RAG",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,The pace in the second half was a bit too fast for beginners without prior Python experience.
28,2026-09-01 20:10:22.700702,5.0,Information Technology,1st Year,Cloud Deployment & DevOps,"Vector Databases & RAG, Mobile App Development, Advanced System Design",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Some advanced AI prompting techniques needed more foundational explanation.
29,2026-08-29 22:53:22.700702,5.0,Information Technology,2nd Year,Cloud Deployment & DevOps,"Vector Databases & RAG, Docker & Kubernetes",4.0,Yes,,Need more time allocated for hands-on practice rather than rapid live coding.
30,2026-09-01 02:25:22.700702,5.0,AI & Data Science,2nd Year,Cloud Deployment & DevOps,"Mobile App Development, Autonomous AI Agents, Docker & Kubernetes",5.0,Yes,Loved the clear explanations of REST API architecture and database models.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
31,2026-08-30 00:40:22.700702,4.0,Information Technology,4th Year,Cloud Deployment & DevOps,"Advanced System Design, Docker & Kubernetes",3.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",Some advanced AI prompting techniques needed more foundational explanation.
32,2026-08-31 02:38:22.700702,4.0,Computer Science,2nd Year,Cloud Deployment & DevOps,"Mobile App Development, Autonomous AI Agents",4.0,Yes,Loved building a working AI application in real time during the second half.,Need more time allocated for hands-on practice rather than rapid live coding.
33,2026-08-30 14:26:22.700702,4.0,Information Technology,3rd Year,Python & FastAPI Backends,"Advanced System Design, Docker & Kubernetes",4.0,Yes,,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
34,2026-08-31 18:48:22.700702,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,The best tech workshop we had this semester. Very inspiring!,
35,2026-08-31 22:01:22.700702,4.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,Vector Databases & RAG,3.0,Yes,Loved the clear explanations of REST API architecture and database models.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
36,2026-09-02 04:12:22.700702,4.0,AI & Data Science,2nd Year,React & Modern UI Systems,"Advanced System Design, Mobile App Development",4.0,Maybe,Loved the clear explanations of REST API architecture and database models.,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
37,2026-09-01 04:29:22.700702,4.0,AI & Data Science,2nd Year,React & Modern UI Systems,"Mobile App Development, Vector Databases & RAG, Advanced System Design",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
38,2026-08-29 20:48:22.700702,5.0,Computer Science,2nd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,Loved the clear explanations of REST API architecture and database models.,The pace in the second half was a bit too fast for beginners without prior Python experience.
39,2026-08-29 03:11:22.700702,3.0,AI & Data Science,2nd Year,React & Modern UI Systems,"Mobile App Development, Advanced System Design, Autonomous AI Agents",2.0,No,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Audio had occasional echo in the auditorium back rows.
40,2026-08-31 00:26:22.700702,5.0,AI & Data Science,2nd Year,Python & FastAPI Backends,"Autonomous AI Agents, Mobile App Development",5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,Please include more beginner-friendly debugging tips.
41,2026-09-02 04:29:22.700702,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Mobile App Development",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
42,2026-08-30 13:01:22.700702,4.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,,Need more time allocated for hands-on practice rather than rapid live coding.
43,2026-08-29 05:33:22.700702,4.0,Information Technology,3rd Year,Python & FastAPI Backends,Advanced System Design,4.0,Yes,Great energy from the instructor and very well structured presentation slides.,Please provide code repositories and slides earlier before the session starts.
44,2026-08-31 03:57:22.700702,5.0,Electronics & Communication,2nd Year,AI-assisted Coding & LLMs,Docker & Kubernetes,4.0,Yes,,
45,2026-08-29 17:32:22.700702,2.0,Information Technology,4th Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Autonomous AI Agents, Docker & Kubernetes",2.0,No,The best tech workshop we had this semester. Very inspiring!,The pace in the second half was a bit too fast for beginners without prior Python experience.
46,2026-08-29 22:21:22.700702,4.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Mobile App Development",3.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Audio had occasional echo in the auditorium back rows.
47,2026-08-28 22:59:22.700702,4.0,AI & Data Science,4th Year,AI-assisted Coding & LLMs,"Advanced System Design, Docker & Kubernetes, Vector Databases & RAG",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
48,2026-08-30 12:29:22.700702,5.0,Computer Science,2nd Year,Python & FastAPI Backends,"Vector Databases & RAG, Mobile App Development",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
49,2026-09-01 23:08:22.700702,4.0,Information Technology,4th Year,Python & FastAPI Backends,"Mobile App Development, Advanced System Design, Docker & Kubernetes",4.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Please include more beginner-friendly debugging tips.
50,2026-08-30 12:08:22.700702,4.0,AI & Data Science,1st Year,AI-assisted Coding & LLMs,"Mobile App Development, Docker & Kubernetes",4.0,Yes,Loved the clear explanations of REST API architecture and database models.,
51,2026-08-31 22:54:22.700702,4.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Advanced System Design, Autonomous AI Agents",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Some advanced AI prompting techniques needed more foundational explanation.
52,2026-08-28 12:40:22.700702,5.0,AI & Data Science,2nd Year,AI-assisted Coding & LLMs,Advanced System Design,5.0,Yes,Great energy from the instructor and very well structured presentation slides.,Please include more beginner-friendly debugging tips.
53,2026-08-28 12:57:22.700702,5.0,AI & Data Science,3rd Year,Python & FastAPI Backends,"Mobile App Development, Autonomous AI Agents",5.0,Maybe,Practical examples rather than just boring slides. Outstanding workshop!,The pace in the second half was a bit too fast for beginners without prior Python experience.
54,2026-08-28 19:39:22.700702,1.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Advanced System Design, Vector Databases & RAG",1.0,No,Practical examples rather than just boring slides. Outstanding workshop!,Please include more beginner-friendly debugging tips.
55,2026-08-29 15:32:22.700702,4.0,AI & Data Science,4th Year,AI-assisted Coding & LLMs,Vector Databases & RAG,3.0,Maybe,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
