Response_ID,Timestamp,How would you rate your overall satisfaction with the workshop?,Which academic department do you belong to?,What is your current year of study?,Which workshop topic was most valuable to you?,Which skills would you like to explore in future sessions? (Select all that apply),How clear and effective was the instructor's delivery?,Would you recommend this workshop to your peers?,What aspects of the workshop did you like the most?,What improvements or changes would you suggest?
1,2026-08-31 15:56:02.209623,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Mobile App Development, Advanced System Design",4.0,Yes,,
2,2026-08-30 21:37:02.209623,4.0,Information Technology,3rd Year,React & Modern UI Systems,"Docker & Kubernetes, Autonomous AI Agents, Mobile App Development",5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
3,2026-08-29 06:01:02.209623,5.0,Electronics & Communication,2nd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,
4,2026-08-29 16:39:02.209623,5.0,AI & Data Science,3rd Year,React & Modern UI Systems,Docker & Kubernetes,4.0,Yes,Loved building a working AI application in real time during the second half.,Audio had occasional echo in the auditorium back rows.
5,2026-08-29 14:35:02.209623,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,Great energy from the instructor and very well structured presentation slides.,Some advanced AI prompting techniques needed more foundational explanation.
6,2026-09-02 06:58:02.209623,4.0,Information Technology,3rd Year,Python & FastAPI Backends,Docker & Kubernetes,3.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
7,2026-09-02 09:22:02.209623,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,Vector Databases & RAG,5.0,Yes,Loved the clear explanations of REST API architecture and database models.,
8,2026-08-31 08:26:02.209623,1.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,Autonomous AI Agents,1.0,No,Great energy from the instructor and very well structured presentation slides.,Audio had occasional echo in the auditorium back rows.
9,2026-08-31 10:03:02.209623,5.0,Computer Science,2nd Year,Cloud Deployment & DevOps,Advanced System Design,4.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
10,2026-08-30 11:59:02.209623,4.0,Computer Science,1st Year,React & Modern UI Systems,Docker & Kubernetes,4.0,Yes,Loved the clear explanations of REST API architecture and database models.,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
11,2026-08-30 03:41:02.209623,5.0,AI & Data Science,2nd Year,React & Modern UI Systems,"Autonomous AI Agents, Advanced System Design",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
12,2026-08-29 09:31:02.209623,5.0,AI & Data Science,4th Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Advanced System Design, Docker & Kubernetes",4.0,Maybe,Loved the clear explanations of REST API architecture and database models.,
13,2026-08-31 00:40:02.209623,5.0,AI & Data Science,2nd Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Mobile App Development",5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,
